Web Error_type  Type
WEB114  lake
WEB117  lake
WEB119  stream
WEB120  lake
WEB153  terrestrial
WEB154  terrestrial
WEB18  terrestrial
WEB180  terrestrial
WEB181  terrestrial
WEB182  terrestrial
WEB183  terrestrial
WEB202  stream
WEB213  stream
WEB22 terrestrial
WEB23 terrestrial
WEB24 terrestrial
WEB249  stream
WEB250  lake
WEB252  stream      
WEB253  marine      
WEB254  stream      
WEB255  stream      
WEB257  estuary     
WEB258  estuary
WEB259  estuary     
WEB26 terrestrial 
WEB260  estuary     
WEB261  estuary     
WEB262  estuary     
WEB265  marine
WEB266  marine      
WEB267  marine      
WEB268  marine      
WEB269  lake        
WEB288  estuary     
WEB289  lake
WEB290  marine       
WEB293  marine   
WEB294  lake  Rotated 
WEB296  lake        
WEB320  marine      
WEB321  marine
WEB322  marine      
WEB323  marine      
WEB324  marine      
WEB333  marine      
WEB339  marine      
WEB37 marine
WEB38 lake
WEB39 lake
WEB60 terrestrial
